Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.14365,0.1089,0.081277,0,0,0,5.2633,0.014894,-1.4798E-06,-8.3165E-06,0.021935,-4.0175E-06,0.023194,0,0,0,0,0,0,package://4wc/meshes/Body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wc/meshes/Body.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066688,0.0036428,-0.064837,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wc/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wc/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.050812,0.31516,-0.047207,2.834,0,-1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012316,-1.3878E-17,0,0,0,0,0.19359,0.00025308,-5.8809E-37,5.1845E-21,0.00013682,7.1756E-37,0.00013682,0,0,0,0,0,0,package://4wc/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wc/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.018219,-0.039786,-1.8784,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.0024231,-0.066755,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wc/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wc/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.012128,-0.10492,-0.047207,2.834,0,1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012316,5.5511E-17,2.7756E-17,0,0,0,0.19359,0.00025308,-9.443E-22,9.6831E-21,0.00013682,-3.3881E-21,0.00013682,0,0,0,0,0,0,package://4wc/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wc/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,0.00097405,-0.03369,-0.69943,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.075402,-0.0095357,-0.022201,0,0,0,0.19701,1.688E-05,2.5835E-21,1.1841E-21,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wc/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wc/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.23081,0.31516,0.0042239,2.834,0,-1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.0021268,-0.0012511,-2.7756E-17,0,0,0,0.033793,9.9078E-06,1.2779E-06,3.7906E-22,2.8846E-06,2.4306E-21,1.1755E-05,0,0,0,0,0,0,package://4wc/meshes/LBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://4wc/meshes/LBC.STL,,CastleCatcher-1,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,0,3.1416,LBS,0,1,0,,,,,,,,,,,,
LBW,0.017684,0,0,0,0,0,0.19359,0.00025308,-5.8809E-37,5.1845E-21,0.00013682,7.1756E-37,0.00013682,0,0,0,0,0,0,package://4wc/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wc/meshes/LBW.STL,,wheel-1,Origin_LBW,Axis_LBW,LBW,continuous,0.01075,-0.019033,0,0,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.075402,-0.0095357,-0.022201,0,0,0,0.19701,1.688E-05,-2.414E-21,-1.2409E-21,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wc/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wc/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.19919,-0.099161,0.0042239,2.834,0,1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.0021268,-0.0012511,0,0,0,0,0.033793,9.9078E-06,1.2779E-06,6.1288E-22,2.8846E-06,2.6299E-21,1.1755E-05,0,0,0,0,0,0,package://4wc/meshes/RBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://4wc/meshes/RBC.STL,,CastleCatcher-2,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,0,3.1416,RBS,0,1,0,,,,,,,,,,,,
RBW,0.017684,2.7756E-17,0,0,0,0,0.19359,0.00025308,-1.7783E-20,1.0868E-20,0.00013682,8.4703E-21,0.00013682,0,0,0,0,0,0,package://4wc/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wc/meshes/RBW.STL,,wheel-2,Origin_RBW,Axis_RBW,RBW,continuous,0.01075,-0.019033,0,1.7808,0,0,RBC,1,0,0,3.1,7,,,,,,,,,,
Cam,-0.023886,-0.025501,0.093335,0,0,0,0.084224,1.3967E-05,-8.8241E-10,-1.0113E-09,3.6726E-05,-1.5151E-06,3.0115E-05,0,0,0,0,0,0,package://4wc/meshes/Cam.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wc/meshes/Cam.STL,,webcam-2,Origin_Cam,,Cam,fixed,-0.099325,0.13189,0.16474,1.7188,0,1.5708,Body,0,0,0,,,,,,,,,,,,
Lidar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://4wc/meshes/Lidar.STL,1,1,1,1,0,0,0,0,0,0,package://4wc/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,-0.098561,0.24092,-0.5487,-1.5708,0,0,Body,0,0,0,,,,,,,,,,,,
